Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTNED,1050
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTNEM,1016
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTNSL,1398
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,INTVKL,1426
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,NPSHYD,563
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,NUCLEAR,2978
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,OCGT,2
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,OIL,0
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,OTHER,615
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,PS,-16
FUELHH,2026-06-10T09:30:00Z,2026-06-10T09:00:00Z,2026-06-10,21,WIND,4030
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,BIOMASS,2413
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,CCGT,8088
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,COAL,0
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTELEC,998
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTEW,-304
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTFR,1502
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTGRNL,-514
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTIFA2,-2
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTIRL,-412
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTNED,1052
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTNEM,950
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTNSL,1398
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,INTVKL,1426
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,NPSHYD,450
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,NUCLEAR,2979
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,OCGT,2
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,OIL,0
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,OTHER,745
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,PS,-16
FUELHH,2026-06-10T09:00:00Z,2026-06-10T08:30:00Z,2026-06-10,20,WIND,3877
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,BIOMASS,2412
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,CCGT,8202
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,COAL,0
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTELEC,998
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTEW,-454
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTFR,1502
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTGRNL,-514
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTIFA2,-2
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTIRL,-452
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTNED,1050
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTNEM,950
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTNSL,1398
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,INTVKL,1426
FUELHH,2026-06-10T08:30:00Z,2026-06-10T08:00:00Z,2026-06-10,19,NPSHYD,459
